# https://civitai.com/articles/14248/female-character-database-and-prompt-table-for-comfyui-and-pony-sdxl
2b from nier automata, white hair, nier automata setting
matsurika shinōji from maria holic, black hair, maria holic setting
mature from king of fighters, blonde hair, king of fighters setting
mature from the king of fighters, blonde hair, the king of fighters setting
mavuika from genshin impact, orange hair, genshin impact setting
max caulfield from life is strange, brown hair, life is strange setting
max mayfield from stranger things, red hair, stranger things setting
may lee jinju from the king of fighters, black hair, the king of fighters setting
maya biggs from dr stone, brown hair, dr stone setting
maya natsume from tenjo tenge, violet hair, tenjo tenge setting
maya yamada from infinite stratos, brown hair, infinite stratos setting
maya from borderlands, blue hair, borderlands setting
maya from killer instinct, brown hair, killer instinct setting
maypia alexymetalia from aika, silver hair, aika setting
maypia alexymetalia from agent aika, violet hair, agent aika setting
maypia alexymetalia from agent aika, violet hair, agent aika setting
mayu miyano from b gata h kei, black hair, b gata h kei setting
mayuri hanyuu from 25 dimensional seduction, purple hair, 25 dimensional seduction setting
mea kurosaki from to love-ru, red hair, to love-ru setting
mea kuroseki from to love-ru, hot pink hair, to love-ru setting
medaka kurokami from medaka box, black hair, medaka box setting
medaka kurokami from medaka box, black hair, medaka box setting
medusa gorgon from soul eater, black hair, soul eater setting
medusa rider from fate stay night, purple hair, fate stay night setting
megumi tadokoro from shokugeki no souma, blue hair, shokugeki no souma setting
megumin from konosuba, black hair, konosuba setting
mei aihara from citrus, black hair, citrus setting
mei mei from jujutsu kaisen, white hair, jujutsu kaisen setting
mei terumi from naruto, redbrown hair, naruto setting
meidri from ishuzoku reviewers, orange hair, ishuzoku reviewers setting
meifon sakura from valkyrie drive, black hair, valkyrie drive setting
meiko shiraki from prison school, blonde hair, prison school setting
mel from arcane, red hair, arcane setting
mele from jyuken sentai gekiranger, black hair, jyuken sentai gekiranger setting
melona from queens blade, hot pink hair, queens blade setting
melona from queens blade, pink hair, queens blade setting
menace from queens blade, black hair, queens blade setting
menat from street fighter, violet hair, street fighter setting
mercedes von martritz from fire emblem three houses, blonde hair, fire emblem three houses setting
mercy from overwatch, blonde hair, overwatch setting
mereoleona vermillion from black clover, orange hair, black clover setting
mereoleona vermillion from black clover, orange hair, black clover setting
merlin from seven deadly sins, violet hair, seven deadly sins setting
meryl silverburgh from metal gear solid, brown hair, metal gear solid setting
mian from king of fighters, black hair, king of fighters setting
michaela from brown dust 2, blonde hair, brown dust 2 setting
michiru kagemori from bna brand new animal, brown blue hair, bna brand new animal setting
michonne from the walking dead, black hair, the walking dead setting
midari ikishima from kakegurui, black hair, kakegurui setting
midnight from my hero academia, black hair, my hero academia setting
midori chitose from green green, green hair, green green setting
midori satsuki from blue archive, green hair, blue archive setting
midori taki from 25 dimensional seduction, black hair, 25 dimensional seduction setting
miharu hirano from tekken, brown hair, tekken setting
miharu takeshita from b gata h kei, brown hair, b gata h kei setting
miia from monster musume, red hair, monster musume setting
mika from genshin impact, blonde hair, genshin impact setting
mikako satsukitane from heavens lost property, purple hair,  breasts,  ass, heavens lost property setting
mikan yuuki from to love-ru, orange hair, to love-ru setting
mikari tachibana from 25 dimensional seduction, brown hair, 25 dimensional seduction setting
mikasa ackerman from attack on titan, black hair, attack on titan setting
miki tsurugi from triage x, black hair, triage x setting
miki tsurugi from triage x, dark blue hair, triage x setting
miko iino from kaguya-sama love is war, black hair, kaguya-sama love is war setting
miko kazuki from master of martial hearts, brown hair, master of martial hearts setting
miko yotsuya from mieruko-chan, black hair, mieruko-chan setting
mikoto kiba from triage x, black hair, triage x setting
mikoto kiba from triage x, silver hair, triage x setting
miku hatsune from vocaloid, turquoise hair, vocaloid setting
miku kobayakawa from keijo, hot pink hair, keijo setting
miku nakano from the quintessential quintuplets, auburn red hair, the quintessential quintuplets setting
miku from darling in the franxx, orange hair, darling in the franxx setting
mila from dead or alive, red hair, dead or alive setting
mileena from mortal kombat, black hair, mortal kombat setting
milim nava from that time i got reincarnated as a slime, rose hair, that time i got reincarnated as a slime setting
milla basset from freedom planet, orange hair, freedom planet setting
millicent from elden ring, red hair, elden ring setting
milly ashford from code geass, orange hair, code geass setting
mimi from rin daughters of mnemosyne, brown hair, rin daughters of mnemosyne setting
mimosa vermillion from black clover, orange hair, black clover setting
mimosa vermillion from black clover, rose hair, black clover setting
mina majikina from samurai shodown, brown hair, samurai shodown setting
mina majikina from samurai shodown, white hair, samurai shodown setting
mina okura from so i cant play h, brown hair, so i cant play h setting
mina from iconoclasts, green hair, iconoclasts setting
minako aino from sailor moon, blonde hair, sailor moon setting
minami hokutozai from dr stone, blonde hair, dr stone setting
minamoto no raikou from fate grand order, violet hair, fate grand order setting
mine from akame ga kill, hot pink hair, akame ga kill setting
minene uryuu from future diary, purple hair, future diary setting
mineru wachi from mother of the goddess dormitory, green hair, mother of the goddess dormitory setting
minerva orland from fairy tail, black hair, fairy tail setting
mini yaemori from rent-a-girlfriend, rose hair, rent-a-girlfriend setting
minna-dietlinde wilcke from strike witches, silver hair, strike witches setting
minori kushieda from toradora, rose hair, toradora setting
minori from senran kagura, brown hair, senran kagura setting
mio akiyama from k-on, black hair,  breasts,  ass, k-on setting
mio kusakai from keijo, blonde hair, keijo setting
mio naruse from testament of sister new devil, red hair, testament of sister new devil setting
mio naruse from the testament of sister new devil, red hair, the testament of sister new devil setting
mio sakamoto from strike witches, black hair, strike witches setting
mio sakamoto from strike witches, black hair, strike witches setting
mio from edens zero, light blue hair, edens zero setting
mio from xenoblade chronicles 3, silver hair, xenoblade chronicles 3 setting
miori akagawa from my dress-up darling, black hair, my dress-up darling setting
mirai from senran kagura, black hair, senran kagura setting
mirajane strauss from fairy tail, white hair, fairy tail setting
mirajane strauss from fairy tail, white hair, fairy tail setting
miranda lawson from mass effect, black hair, mass effect setting
mirei shikishima from valkyrie drive mermaid, black hair, valkyrie drive mermaid setting
mirei shikishima from valkyrie drive, blonde hair, valkyrie drive setting
mirei shizuoka from kenkou zenrakei suieibu umishou, black hair, kenkou zenrakei suieibu umishou setting
mireille bouquet from noir, blonde hair, noir setting
miriam from bloodstained ritual of the night, brown hair, bloodstained ritual of the night setting
misa amane from death note, blonde hair, death note setting
misa aoi from kandagawa jet girls, dark blue hair, kandagawa jet girls setting
misaki ayuzawa from kaichou wa maid-sama, black hair, kaichou wa maid-sama setting
misaki toyoda from keijo, brown hair, keijo setting
misaki toyoda from wanna be the strongest, black hair, wanna be the strongest setting
misato katsuragi from neon genesis evangelion, black hair, neon genesis evangelion setting
misato katsuragi from neon genesis evangelion, violet hair, neon genesis evangelion setting
miss fortune from league of legends, red hair, league of legends setting
miss fury from dynamite, red hair, dynamite setting
miss spencer from rumble roses, blonde hair, rumble roses setting
misty rosenkreuz from freezing, purple hair, freezing setting
mitsuki hayase from kimi ga nozomu eien, dark brown hair, kimi ga nozomu eien setting
mitsuki sawatari from he is my master, brown hair, he is my master setting
mitsune konno from love hina, light brown hair, love hina setting
mitsuri kanroji from demon slayer, rose green hair, demon slayer setting
miyabi kannazuki from freezing, violet hair, freezing setting
miyabi from senran kagura, black hair, senran kagura setting
miyamoto musashi from fate grand order, rose hair, fate grand order setting
miyuri tsujidō from seikon no qwaser, blue hair, seikon no qwaser setting
mizore shirayuki from rosario + vampire, light blue hair,  breasts,  ass, rosario + vampire setting
mizore shirayuki from rosario + vampire, purple hair, rosario + vampire setting
mizuhara chizuru from rent-a-girlfriend, brown hair,  breasts,  ass, rent-a-girlfriend setting
mizuki aoba from keijo, purple hair, keijo setting
mobius from honkai impact 3rd, green hair, honkai impact 3rd setting
mogador from azur lane, purple hair, azur lane setting
mogana kikaijima from medaka box, blue hair, medaka box setting
moka akashiya from rosario + vampire, pink or silver hair, rosario + vampire setting
momiji from dead or alive, black hair, dead or alive setting
momo ayase from dan da dan, black hair, dan da dan setting
momo belia deviluke from to love-ru, hot pink hair, to love-ru setting
momo belia deviluke from to love-ru, rose hair, to love-ru setting
momo yaoyorozu from my hero academia, black hair, my hero academia setting
momoi satsuki from blue archive, pink hair, blue archive setting
momoko orizuka from kenkou zenrakei suieibu umishou, purple hair, kenkou zenrakei suieibu umishou setting
mona megistus from genshin impact, violet hair, genshin impact setting
mona from destiny child, black hair, destiny child setting
mona from medaka kuroiwa is impervious to my charms, blonde hair, medaka kuroiwa is impervious to my charms setting
monica rambeau from wandavision, black hair, wandavision setting
monica from xenoblade chronicles 3, red hair, xenoblade chronicles 3 setting
morgiana from magi the labyrinth of magic, red hair,  breasts,  ass, magi the labyrinth of magic setting
morrigan aensland from darkstalkers, green hair, darkstalkers setting
morrigan from dragon age, black hair,  breasts,  ass, dragon age setting
motoko kusanagi from ghost in the shell, purple hair, ghost in the shell setting
moxie from borderlands, brown hair, borderlands setting
ms fortune from skullgirls, white hair, skullgirls setting
mt lady from my hero academia, blonde hair, my hero academia setting
mualani from genshin impact, white hair, genshin impact setting
munemune from scorching ping pong girls, blonde hair, scorching ping pong girls setting
muneyuki saigyou from manyuu hikenchou, purple hair, manyuu hikenchou setting
murakumo from senran kagura, black hair, senran kagura setting
murasaki from senran kagura, purple hair, senran kagura setting
musashi from azur lane, silver hair, azur lane setting
myouga unzen from medaka box, pink hair, medaka box setting
mystique from comics filme, red hair, comics filme setting
mystique from marvel comics x-men, red hair, marvel comics x-men setting
nadine ross from uncharted, black hair, uncharted setting
nadine from fire emblem heroes, blonde hair, fire emblem heroes setting
nagatoro from dont toy with me miss nagatoro, brown hair, dont toy with me miss nagatoro setting
nagisa kashiwagi from kaguya-sama love is war, brown hair, kaguya-sama love is war setting
nagisa ujibe from keijo, brown hair, keijo setting
nagomi 753 from 25 dimensional seduction, half purple half rose hair, 25 dimensional seduction setting
nagoya from mist train girls, red hair, mist train girls setting
najenda from akame ga kill, white hair, akame ga kill setting
najica hiiragi from najica blitz tactics, brown hair, najica blitz tactics setting
najimi ajimu from medaka box, black hair, medaka box setting
najimi ajimu from medaka box, black hair, medaka box setting
nakoruru from samurai shodown, black hair, samurai shodown setting
nakoruru from samurai shodown, black hair, samurai shodown setting
nami from one piece, orange hair, one piece setting
nana astar deviluke from to love-ru, blue hair, to love-ru setting
nana astar deviluke from to love-ru, hot pink hair, to love-ru setting
nana chigusa from nana to kaoru, black hair, nana to kaoru setting
nana chigusa from nana to kaoru, black hair, nana to kaoru setting
nana hiiragi from munou na nana, rose hair, munou na nana setting
nana from darling in the franxx, brown hair, darling in the franxx setting
nanael from queens blade, blonde hair, queens blade setting
nanael from queens blade, blue hair, queens blade setting
nanami from punishing gray raven, silver or white hair, punishing gray raven setting
nanase matsuura from macross frontier, brown hair, macross frontier setting
nancy wheeler from stranger things, brown hair, stranger things setting
nanoha takamachi from magical girl lyrical nanoha, brown hair, magical girl lyrical nanoha setting
nao sakurada from triage x, dark brown hair, triage x setting
naoko hasegawa from golden boy, brown hair, golden boy setting
naoko hasegawa from golden boy, brown hair, golden boy setting
naomi takagi from puraore, black hair, puraore setting
napoli from azur lane, red hair, azur lane setting
naraku from senran kagura, black hair, senran kagura setting
nariko from heavenly sword, red hair, heavenly sword setting
naru narusegawa from love hina, brown hair, love hina setting
nashetania from rokka no yuusha, blonde hair, rokka no yuusha setting
natasha romanoff from marvels black widow, red hair, marvels black widow setting
natsume honma from master of martial hearts, dark brown hair, master of martial hearts setting
navi from idoly pride, blue hair, idoly pride setting
navia from genshin impact, blonde hair, genshin impact setting
nazrin from touhou project, grey hair, touhou project setting
neamhain from destiny child, green hair, destiny child setting
nebra silva from black clover, white hair, black clover setting
nebula from guardians of the galaxy, bald head hair, guardians of the galaxy setting
nefertima osfe from fluffy paradise , hot pink hair, fluffy paradise  setting
nei okawamura from chained soldier, green hair, chained soldier setting
nekomi nabeshima from medaka box, brown hair, medaka box setting
nekomiya mana from zenless zone zero, blonde hair, zenless zone zero setting
nekomiya mana from zenless zone zero, brown hair, zenless zone zero setting
nelliel tu odelschwanck from bleach, green hair, bleach setting
nemesis from to love-ru darkness, black hair, to love-ru darkness setting
nemesis from to love-ru, black hair, to love-ru setting
nemesis from to love-ru, black hair, to love-ru setting
nemu kuredsuchi from bleach manga, black hair, bleach manga setting
nene kinokuni from food wars, bright green hair, food wars setting
neon from goddess of victory nikke, blue hair, goddess of victory nikke setting
nepheli loux from elden ring, black hair, elden ring setting
nero claudius saber from fate extra, blonde hair, fate extra setting
nero from black clover, black hair, black clover setting
neuvillette from genshin impact, blue hair, genshin impact setting
new jersey from azur lane, blonde hair, azur lane setting
nezu from liar liar, silver hair, liar liar setting
nezuko kamado from demon slayer, black orange hair, demon slayer setting
nico robin from one piece, black hair, one piece setting
nico yazawa from love live!, black hair, love live! setting
nicole demara from zenless zone zero, pink and red hair, zenless zone zero setting
nicole demara from zenless zone zero, blonde hair, zenless zone zero setting
nijika ijichi from bocchi the rock, blonde hair, bocchi the rock setting
nike from kamihime project, pink hair, kamihime project setting
nikita from inner worlds, black hair, inner worlds setting
nikke rapi from goddess of victory nikke, blonde hair, goddess of victory nikke setting
nikke from goddess of victory nikke, variabel hair, goddess of victory nikke setting
nikki hanada from dr stone, blonde hair, dr stone setting
nikuko from please tell me galko-chan, brown hair, please tell me galko-chan setting
nikumi mito from shokugeki no souma, brown hair, shokugeki no souma setting
nilah from league of legends, brown hair, league of legends setting
nilou from genshin impact, orange hair, genshin impact setting
nina williams from tekken 8, blonde hair, tekken 8 setting
ning hai from azur lane, black hair, azur lane setting
ningguang from genshin impact, blonde hair, genshin impact setting
nobara kugisaki from jujutsu kaisen, brown hair, jujutsu kaisen setting
noel vermillion from blazblue, blonde hair, blazblue setting
noelle silva from black clover, silver hair, black clover setting
noelle silva from black clover, silver hair, black clover setting
noelle from genshin impact, white hair, genshin impact setting
noko shikanoko from my deer friend nokotan , brown hair, my deer friend nokotan  setting
non toyoguchi from keijo, red hair, keijo setting
nona from death parade, light blue hair, death parade setting
nonko arahabaki from yuragi-sou no yuuna-san, red hair, yuragi-sou no yuuna-san setting
nonon jakuzure from kill la kill, pink hair, kill la kill setting
nonon jakuzure from kill la kill, rose hair, kill la kill setting
nora from noragami, black hair, noragami setting
north carolina from azur lane, blonde hair, azur lane setting
northampton ii from azur lane, brown hair, azur lane setting
noshiro from azur lane, red hair, azur lane setting
nowa sugaya from my dress-up darling, brown hair, my dress-up darling setting
nowa from queens blade, brown hair, queens blade setting
nozomi kaminashi from keijo, black blue hair, keijo setting
nozomi nakamura from tamayomi, brown hair, tamayomi setting
nui harime from kill la kill, blonde hair, kill la kill setting
number 21 from punishing gray raven, white hair, punishing gray raven setting
nyo-tengu from dead or alive, black hair, dead or alive setting
nyotengu from dead or alive, black hair, dead or alive setting
nyx from hades, violet hair, hades setting
nyx from queens blade, black hair, queens blade setting
oboro shintou from yuragi-sou no yuuna-san, purple hair, yuragi-sou no yuuna-san setting
ochaco uraraka from my hero academia, brown hair, my hero academia setting
oerba dia vanille from final fantasy xiii,  hair, final fantasy xiii setting
okarun female from dan da dan, black hair, dan da dan setting
okita souji from fate grand order,  hair, fate grand order setting
oko from vagabond, black hair, vagabond setting
okoye from black panther, none shaved hair, black panther setting
okpa from interspecies reviewers, rose hair, interspecies reviewers setting
olivier mira armstrong from fullmetal alchemist, blonde hair, fullmetal alchemist setting
omoharu nakanaka from komi cant communicate, purple hair, komi cant communicate setting
oni of bliss ibuki from tenkafuma, black hair, tenkafuma setting
orange princess from castle crashers, orange hair, castle crashers setting
orchid from killer instinct, black hair, killer instinct setting
origami tobiichi from date a live, white hair, date a live setting
oriha nashida from triage x, blonde hair, triage x setting
orihime inoue from bleach thousand year blood war, orange hair, bleach thousand year blood war setting
orochi leona from the king of fighters, red hair, the king of fighters setting
osana najimi from komi cant communicate, white orange hair, komi cant communicate setting
otsu from vagabond, black hair, vagabond setting
ouka sayama from manyuu hiken-chou, red hair, manyuu hiken-chou setting
owari from azur lane, white hair, azur lane setting
padmé amidala from star wars, brown hair, star wars setting
pai chan from virtua fighter, brown hair, virtua fighter setting
paine from final fantasy x-2, short black hair, final fantasy x-2 setting
painlevé from azur lane, brown hair, azur lane setting
pakunoda from hunter x hunter, blonde hair, hunter x hunter setting
pan tina from kandagawa jet girls, black hair, kandagawa jet girls setting
pan tzu from kandagawa jet girls, black hair, kandagawa jet girls setting
panam palmer from cyberpunk 2077, brown hair, cyberpunk 2077 setting
pantha from dynamite, black hair, dynamite setting
panty anarchy from panty & stocking with garterbelt, blonde hair, panty & stocking with garterbelt setting
panty anarchy from panty & stocking, blonde hair, panty & stocking setting
panty from panty & stocking with garterbelt, black hot pink blue hair, panty & stocking with garterbelt setting
papi from monster musume, blue hair, monster musume setting
parasoul from skullgirls, red hair, skullgirls setting
patricia thompson from soul eater, blonde hair, soul eater setting
peggy carter from marvel comics, blonde hair, marvel comics setting
perrine clostermann from strike witches, blonde hair, strike witches setting
perseus from azur lane, blonde hair, azur lane setting
peter strasser from azur lane, blonde hair, azur lane setting
petra forgewoman from horizon zero dawn, black hair, horizon zero dawn setting
phantom lady from dynamite, black hair, dynamite setting
phantom from last origin, purple hair, last origin setting
phasi princess lulu from tenkafuma, pink hair, tenkafuma setting
ping hai from azur lane, black hair, azur lane setting
pink princess from castle crashers, rose hair, castle crashers setting
piper wheel from zenless zone zero, pink hair, zenless zone zero setting
piper wheel from zenless zone zero, red hair, zenless zone zero setting
pittsburgh from azur lane, brown hair, azur lane setting
plague doctor from darkest dungeon, black hair, darkest dungeon setting
plague knight female mod version from shovel knight, green hair, shovel knight setting
poison ivy from comics, red hair, comics setting
poison from street fighter, hot pink hair, street fighter setting
pola from azur lane, dark purple hair, azur lane setting
power girl from injustice gods among us, blonde hair, injustice gods among us setting
power from chainsaw man, rose hair, chainsaw man setting
princess hibana from fire force, white hair, fire force setting
princess peach from super mario, blonde hair, super mario setting
princess zelda from legend of zelda, blonde hair, legend of zelda setting
princess from castle crashers, random hair, castle crashers setting
prinz adalbert from azur lane, silver hair, azur lane setting
prinz eugen from azur lane, silver hair, azur lane setting
prinz heinrich from azur lane, blonde hair, azur lane setting
prinz rupprecht from azur lane, silver hair, azur lane setting
priscilla s asagiri from bubblegum crisis, silver hair, bubblegum crisis setting
priscilla from claymore, brown hair, claymore setting
professor ivy from pokémon, grey hair, pokémon setting
promethea from americas best comics,  hair, americas best comics setting
psylocke from comics, purple hair, comics setting
pulchra fellini from zenless zone zero, brown hair, zenless zone zero setting
pulchra fellini from zenless zone zero, blonde hair, zenless zone zero setting
pyra from xenoblade chronicles, red hair, xenoblade chronicles setting
pyrrha from soul calibur, blonde hair, soul calibur setting
q-bee from darkstalkers, black hair, darkstalkers setting
qingyi from zenless zone zero, dark blue hair, zenless zone zero setting
qingyi from zenless zone zero, black hair, zenless zone zero setting
qiyana from league of legends, white hair, league of legends setting
quanxi from chainsaw man, hot pink hair, chainsaw man setting
quele sellier from so i cant play h, blonde hair, so i cant play h setting
quetzalcoatl from miss kobayashis dragon maid, blonde hair, miss kobayashis dragon maid setting
quiet from metal gear solid v, brown hair,  breasts,  ass, metal gear solid v setting
rachel alucard from blazblue, blonde hair, blazblue setting
rachel from dead or alive, blonde hair, dead or alive setting
rachnera from monster musume, silver hair, monster musume setting
raffaello from azur lane, blonde hair, azur lane setting
ragyo kiryuin from kill la kill, rainbow silver hair, kill la kill setting
raiden mei from honkai impact 3rd, dark purple hair, honkai impact 3rd setting
raiden shogun from genshin impact, violet hair, genshin impact setting
rain from valkyrie drive, blue hair, valkyrie drive setting
rainbow mika from street fighter, blonde hair, street fighter setting
rainbow mika from street fighter, blonde hair, street fighter setting
ram from rezero, white hair,  breasts,  ass, rezero setting
rana linchen from freezing, black hair, freezing setting
rana linchen from freezing, purple hair, freezing setting
rangiku matsumoto from bleach, blonde hair, bleach setting
ranka lee from macross frontier, green hair, macross frontier setting
ranko honjou from my first girlfriend is a gal, blonde hair, my first girlfriend is a gal setting
ranni the witch from elden ring, blue hair, elden ring setting
raphtalia from the rising of the shield hero, brown hair, the rising of the shield hero setting
rapi from goddess of victory nikke, rose hair, goddess of victory nikke setting
raquel applegate from wild arms xf, red hair, wild arms xf setting
ravager rose wilson from dc comics deathstroke arc, white hair, dc comics deathstroke arc setting
ravel phenex from high school dxd, blonde hair, high school dxd setting
raven from teen titans, black hair,  breasts,  ass, teen titans setting
reah from dark souls, blonde hair, dark souls setting
rebecca bluegarden from edens zero, blonde hair, edens zero setting
rebecca chambers from resident evil, brown hair, resident evil setting
rebecca from cyberpunk edgerunners, green hair, cyberpunk edgerunners setting
red riding hood from zenescope, blonde hair, zenescope setting
red sonja from dynamite comics, red hair, dynamite comics setting
redline from fortnite, black hair, fortnite setting
regensburg from azur lane, silver hair, azur lane setting
rei ayanami from neon genesis evangelion, blue hair, neon genesis evangelion setting
rei ayanami from neon genesis evangelion, blue hair, neon genesis evangelion setting
rei kuroki from vividred operation, black hair, vividred operation setting
rei miyamoto from highschool of the dead, copper blonde hair, highschool of the dead setting
reika morimura from green green, violet hair, green green setting
reika shimohira from gantz, black hair, gantz setting
reiko hinomoto from rumble roses,  hair, rumble roses setting
reiko from oneechanbara, white hair, oneechanbara setting
reimu hakurei from gensokyo night festival, brown hair, gensokyo night festival setting
reina soho from witchblade, blonde hair, witchblade setting
reina from queens blade, red hair, queens blade setting
reina from tekken 8 , violet hair, tekken 8  setting
reisen udongein inaba from touhou project, lavender hair, touhou project setting
rell from league of legends, red black hair, league of legends setting
rem galleu from how not to summon a demon lord, black hair, how not to summon a demon lord setting
rem from rezero, blue hair, rezero setting
ren yamai from komi cant communicate, red hair, komi cant communicate setting
renata glasc from league of legends, grey hair, league of legends setting
renka from senran kagura, red hair, senran kagura setting
renner theiere chardelon ryle vaiself from overlord, blonde hair, overlord setting
reno from azur lane, orange hair, azur lane setting
rera from samurai shodown, red hair, samurai shodown setting
revy from black lagoon, violet hair, black lagoon setting
rey skywalker from star wars, brown hair, star wars setting
reze from chainsaw man, blue hair, chainsaw man setting
rhaenyra targaryen from house of the dragon, silverblonde hair, house of the dragon setting
rhea from fire emblem three houses, green hair, fire emblem three houses setting
rias gremory from high school dxd, red hair, high school dxd setting
rias gremory from high school dxd, red hair, high school dxd setting
richelieu from azur lane, blonde hair, azur lane setting
riful from claymore, brown hair, claymore setting
rihoko amaha from witchblade, brown hair, witchblade setting
rika furude from higurashi no naku koro ni, light blue hair, higurashi no naku koro ni setting
rika nishida from gantz, black hair, gantz setting
rika nishida from gantz, black hair, gantz setting
rika shiguma from haganai, brown hair, haganai setting
rika from elfen lied fan doujin, green hair, elfen lied fan doujin setting
rikku from final fantasy x, blonde hair, final fantasy x setting
riko saginuma from puraore, blonde hair, puraore setting
rimururu from samurai shodown, blue hair, samurai shodown setting
rimururu from samurai shodown, brown hair, samurai shodown setting
rin asano from blade of the immortal, black hair, blade of the immortal setting
rin asougi from rin daughters of mnemosyne, dark green hair, rin daughters of mnemosyne setting
rin namiki from kandagawa jet girls, brown hair, kandagawa jet girls setting
rin rokudou from keijo, blue hair, keijo setting
rin tohsaka from fate stay night, black hair, fate stay night setting
rin from senran kagura, brown hair, senran kagura setting
rina from zenless zone zero, black hair, zenless zone zero setting
rindou kobayashi from shokugeki no souma, red hair, shokugeki no souma setting
ringo noyamano from air gear, red hairassination classroom,  hair, assassination classroom setting
rinka kagurazaka from seikon no qwaser, black hair, seikon no qwaser setting
rinko shirokane from bang dream, black hair, bang dream setting
rinoa from final fantasy viii, black hair, final fantasy viii setting
rio kazama from wanna be the strongest, blue hairassination classroom,  hair, assassination classroom setting
rion aida from aika, brown hair, aika setting
rion aida from agent aika, brown hair, agent aika setting
rion aida from agent aika, brown hair, agent aika setting
ripclaw from image comics,  hair, image comics setting
riria kazuhira from cutie honey universe, red hair, cutie honey universe setting
ririka momobami from kakegurui, white hair, kakegurui setting
rishe irmgard weitzner from 7th time loop , rose hair, 7th time loop  setting
risky boots from shantae half-genie hero, violet hair, shantae half-genie hero setting
risty from queens blade, red hair, queens blade setting
rita mordio from tales of vesperia, brown hair, tales of vesperia setting
rita rossweisse from honkai impact 3rd, silver hair, honkai impact 3rd setting
rita from daraku gear, black hair, daraku gear setting
ritsu tainaka from k-on, light brown hair, k-on setting
ritsu from assassination classroom, pink hair, assassination classroom setting
ritsuko akagi from neon genesis evangelion, blonde hair, neon genesis evangelion setting
riven from league of legends, white hair, league of legends setting
river tam from serenity comics, black hair, serenity comics setting
riza hawkeye from fullmetal alchemist, blonde hair, fullmetal alchemist setting
robin buckley from stranger things, brown hair, stranger things setting
robin from iconoclasts, orange hair, iconoclasts setting
robyn hood from zenescope, blonde hair, zenescope setting
roderika from elden ring, blonde hair, elden ring setting
roma from azur lane, silver hair, azur lane setting
roon from azur lane, blonde hair, azur lane setting
roroa amidonia from how a realist hero rebuilt the kingdom, silver hair, how a realist hero rebuilt the kingdom setting
rosaria from genshin impact, white hair, genshin impact setting
rose bernstein from the king of fighters, blonde hair, the king of fighters setting
rosetta from punishing gray raven, silver or white hair, punishing gray raven setting
rossweisse from high school dxd, silver hair, high school dxd setting
rossweisse from high school dxd, silver hair, high school dxd setting
rottytops from shantae half-genie hero, green hair, shantae half-genie hero setting
rox from fortnite, brown hair, fortnite setting
roxanne elipton from freezing, red hair, freezing setting
roxy migurdia from mushoku tensei, blue hair, mushoku tensei setting
royal agent elro from iconoclasts female version, black hair, iconoclasts female version setting
roygun belphegor from high school dxd, purple hair, high school dxd setting
rubia from brown dust 2, pink hair, brown dust 2 setting
ruby hoshino from oshi no ko, rose hair, oshi no ko setting
ruby tojo from rosario + vampire, black hair, rosario + vampire setting
ruby from dr stone, black hair, dr stone setting
ruka sarashina from rent-a-girlfriend, black hair, rent-a-girlfriend setting
rumi usagiyama from my hero academia, white hair, my hero academia setting
rumi from boku no pico alt, blonde hair, boku no pico alt setting
run elsie jewelria from to love-ru, blue hair, to love-ru setting
runa yomozuki from kakegurui,  hair, kakegurui setting
rupee from goddess of victory nikke, blonde hair, goddess of victory nikke setting
ruri from dr stone, blonde hair, dr stone setting
ruru amour cure amour from hugtto! precure, purple hair, hugtto! precure setting
rydia from final fantasy iv, green hair, final fantasy iv setting
ryo kawasaki from tamayomi, brown hair, tamayomi setting
ryoko sakaki from food wars,  hair, food wars setting
ryomou shimei from ikki tousen, blue hair, ikki tousen setting
ryona from senran kagura, blonde hair, senran kagura setting
ryou yamada from bocchi the rock, black hair, bocchi the rock setting
ryoubi from senran kagura, brown hair, senran kagura setting
ryuko matoi from kill la kill, black red hair, kill la kill setting
ryuuhou from azur lane, brown hair, azur lane setting
ryōki from senran kagura, white hair, senran kagura setting
ryūko matoi from kill la kill, black with red streak hair, kill la kill setting
saaya yamabuki from bang dream, brown hair, bang dream setting
saber from fate stay night, blonde hair, fate stay night setting
saeko busujima from highschool of the dead, purple hair, highschool of the dead setting
saeko nogami from city hunter, brown hair, city hunter setting
sagiri ameno from yuragi-sou no yuuna-san, blue hair, yuragi-sou no yuuna-san setting
sagiri ameno from yuuna and the haunted hot springs, black hair, yuuna and the haunted hot springs setting
sailor chibi moon chibiusa from sailor moon anime, rose hair, sailor moon anime setting
sailor jupiter makoto kino from sailor moon anime, brown hair, sailor moon anime setting
sailor mars rei hino from sailor moon anime, black hair, sailor moon anime setting
sailor mercury ami mizuno from sailor moon anime, blue hair, sailor moon anime setting
sailor moon usagi tsukino from sailor moon anime, blonde hair, sailor moon anime setting
sailor neptune michiru kaioh from sailor moon anime, turquoise hair, sailor moon anime setting
sailor pluto setsuna meioh from sailor moon anime, dark green hair, sailor moon anime setting
sailor saturn hotaru tomoe from sailor moon anime, black hair, sailor moon anime setting
sailor saturn from sailor moon, dark purple hair, sailor moon setting
sailor uranus haruka tenoh from sailor moon anime, blonde hair, sailor moon anime setting
sailor venus minako aino from sailor moon anime, blonde hair, sailor moon anime setting
saint louis from azur lane, blue hair, azur lane setting
