# https://civitai.com/articles/14248/female-character-database-and-prompt-table-for-comfyui-and-pony-sdxl
2b from nier automata, white hair
sapphire from dr stone, blonde hair
sarah bryant from virtua fighter, blonde hair
sarah kerrigan from starcraft, red hair
sash purplec from freedom planet, violet hair
sasha blouse from attack on titan, brown hair
satan from seven mortal sins, red hair
satella from rezero, silver hair
satellizer l bridget from freezing, blonde hair
satellizer l. bridget from freezing, blonde hair
satsuki kiryuin from kill la kill, black hair
satsuki kiryuuin from kill la kill, black hair
satsuki yumizuka from tsukihime, black hair
saya sasamiya from gakusen toshi asterisk, blue hair
saya takagi from highschool of the dead, rose hair
sayaka igarashi from kakegurui,  hair
sayaka miyata from keijo, white hair
sayaka yumi from mazinger z, black hair
sayo hitsugi from triage x, blue hair
sayo hitsugi from triage x, blonde hair
scanty from panty & stocking, red hair
scanty from panty & stocking with garterbelt, red hair
scarlet from space dandy, red hair
scarlet witch from comics filme, brown red hair
scathach from fate, purple hair
schierke from berserk, green hair
secre swallowtail from black clover,  hair
secre swallowtail from black clover, black hair
seele from honkai star rail , blue hair
seele vollerei from honkai impact 3rd, dark blue hair
sela mathers from zenescope,  hair
selena from punishing gray raven, blue hair
selene from returnal, black hair
sellen from elden ring,  hair
selphie from final fantasy viii, brown hair
sena from xenoblade chronicles 3, blue hair
sena kashiwazaki from haganai anime, blonde hair
senjougahara hitagi from bakemonogatari, violet hair
senjougahara hitagi from bakemonogatari, violet hair
senna from league of legends, white hair
senua from hellblade, black hair
seong mi-na from soul calibur,  hair
serafall leviathan from high school dxd, blue hair
serah from final fantasy xiii, rose hair
seraphim from zettai bouei leviathan, blonde hair
seraphine from league of legends, rose hair
seras ashrain from failure frame i became the strongest and annihilated everything with low-level spells, blonde hair
seras victoria from hellsing, blonde hair
serene hozumi from mother of the goddess dormitory, white hair
serina sumi from blue archive, blonde hair
serval from kemono friends, blonde hair
seryu ubiquitous from akame ga kill, brown hair
setsuka from soul calibur, blonde hair
shaia hishizaki from voltage fighter, blue hair
shalltear bloodfallen from overlord, silver hair
shamir nevrand from fire emblem three houses,  hair
shana from shakugan no shana, red hair
shanna the she-devil from marvel comics, blonde hair
shanoa from castlevania order of ecclesia,  hair
shantae from shantae half-genie hero, violet hair
she-dragon from image comics,  hair
she-hulk from comics serien, green hair
shea haulia from arifureta, light blue hair
sheele from akame ga kill, purple hair
sheena queen of the jungle from queen of the jungle, blonde hair
shenhe from genshin impact, white hair
shera l greenwood from how not to summon a demon lord, blonde hair
shermie from the king of fighters, red hair
sherry birkin from resident evil,  hair
sheryl nome from macross frontier, hot pink hair
sheva alomar from resident evil,  hair
shield knight from shovel knight, red hair
shigenami from the first descendant , black hair
shigeno izumi from campfire cooking in another world, blonde hair
shigeno kuki from gantz g, black hair
shihoru from grimgar ashes and illusions, purple hair
shiki from samurai shodown, violet hair
shiki from senran kagura, black hair
shikimori from shikimoris not just a cutie, rose hair
shimakaze from kancolle, blonde hair
shinano from azur lane, dark blue hair
shinju inui from my dress-up darling, red hair
shinobu kocho from demon slayer, black purple hair
shinobu oshino from bakemonogatari, blonde hair
shion from that time i got reincarnated as a slime, purple hair
shiori tsuzuki from witchblade, black hair
shiro from no game no life, light blue hair
shirogane from dr stone, blonde hair
shiroko sunaookami from blue archive, white/gray hair
shizu murasame from freezing, blue hair
shizu shidō from maria holic, blonde hair
shizuka marikawa from highschool of the dead, blonde hair
shizuku from hunter x hunter,  hair
shizuku yaegashi from arifureta, black purple hair
shizumaru hisame from samurai shodown, black hair
shizune from naruto, black hair
shoukaku from azur lane, white hair
shrinking rae from image comics, brown hair
shura kirigakure from blue exorcist, red to yellow tips hombre hair
shuri from black panther, black hair
shushu suruga from chained soldier, pink hair
shuten douji from fate grand order, violet hair
sigewinne from genshin impact, blonde hair
silk cindy moon from marvel comics, black hair
silk spectre i from dc watchmen, brown hair
simca from air gear, rose hair
sindel from mortal kombat, white hair
singularity from fortnite, dark green hair
sinon from sword art online, light blue hair
sirius from azur lane, silver hair
sirris of the sunless realms from dark souls 3, white hair
sister friede from dark souls 3, black hair
sister ivry from edens zero, white hair
skarlet from mortal kombat, dark red hair
sky from shantae half-genie hero, blonde hair
sleeping beauty from zenescope, white hair
snow white from zenescope, black hair
sofia velmer from freezing, silver hair
soldier 0 - anby from zenless zone zero, blonde hair
soldier 11 from zenless zone zero, white hair
sona from league of legends, turquoise hair
sonya blade from mortal kombat, blonde hair
sophia from punishing gray raven, blonde hair
sophitia alexandra from soul calibur vi, blonde hair
sothis from fire emblem three houses, green hair
soukaku from zenless zone zero, white hair
soukaku from zenless zone zero, white hair
sovetsky soyuz from azur lane, white hair
spider-gwen gwen stacy from marvel comics, blonde hair
squigly from skullgirls, blue hair
squigly from skullgirls, blue hair
squirrel girl from marvel comics unbeatable squirrel girl, brown hair
st louis uss from azur lane, brown auburn hair
star sapphire from dc comics green lantern corps, violet hair
starfire from comics serien, red hair
stella lecarde from castlevania portrait of ruin, violet hair
stella loussier from freezing, rose hair
stella loussier from gundam seed destiny, blonde hair
stella vermillion from chivalry of a failed knight, hot pink hair
storm from x-men 97, white hair
strasbourg from azur lane, blue hair
sucrose from genshin impact, green hair
sumi sakurasawa from rent-a-girlfriend, grey hair
sumire hara from assassination classroom, brown hair
sun strider from fortnite, blonde hair
super sonico from soniani, rose hair
supergirl from dc comics, blonde hair
surcouf from azur lane, brown hair
suruga from azur lane, black hair
suruga kanbaru from monogatari series, violet hair
sutea kouroya from mother of the goddess dormitory, red brown hair
suu from monster musume, green hair
suzuka from akame ga kill, blonde hair
suzume iwato from suzume no tojimari, brown hair
suzuna ayuzawa from kaichou wa maid-sama, black hair
swindler from akudama drive, brown hair
sword maiden from goblin slayer, blonde hair
sylphiette from mushoku tensei, green hair
sylvia sherwood from spy x family, red hair
sylvie from how not to summon a demon lord, rose hair
sylvie from loki, blonde hair
syrinx from destiny child, white hair
tabane shinonono from infinite stratos, silver hair
tae kojima from gantz, brown hair
tae takemi from persona 5 manga-adaption, black hair
taiga aisaka from toradora, light brown hair
taihou from azur lane, black hair
takanotsume nene from sakuna of rice and ruin anime, brown hair
taki from soul calibur vi, brown hair
tala from darkstalkers, green hair
talanah from horizon zero dawn, black hair
talim from soul calibur, brown hair
tamaki from dead or alive venus vacation, black hair
tamaki kotatsu from fire force, black hair
tamaki yamazaki from tamayomi, black hair
tamamo no mae from fate extra, rose hair
tangle from sonic mania, orange hair
tank girl from dark horse, blonde hair
tatenashi sarashiki from infinite stratos, blue hair
tatsumaki from one punch man, dark green hair
tearju lunatique from to love-ru, blonde hair
temari from naruto, blonde hair
tenka izumo from chained soldier, white hair
terako koshi from my deer friend nokotan , orange hair
teresa from claymore, blonde hair
teresa beria from seikon no qwaser, silver hair
teresa beria from seikon no qwaser, blonde hair
terra from final fantasy vi, green blonde hair
teruko okura from liar liar, red hair
tesla strong from americas best comics, black hair
tharja from fire emblem, black hair
the beheaded female mod from dead cells, variabel hair
the knights mother from hollow knight white lady, white hair
the little mermaid from zenescope, brown hair
the maiden from demons souls, black hair
the queen from dead cells, black hair
the queen from dead cells, black hair
theresa apocalypse from honkai impact 3rd, white/silver hair
ticy phenyl from freezing, green hair
tier harribel from bleach, blonde hair
tifa lockhart from final fantasy vii, black hair
tigra from marvel comics, orange hair
tina armstrong from dead or alive, blonde hair
tingyun from honkai star rail , brown hair
tinker bell from peter pan, blonde hair
tio klarus from arifureta, red hair
tione hiryute from danmachi is it wrong to pick up girls in a dungeon, brown hair
tionishia from monster musume, orange hair
tira from soul calibur, turquoise hair
tirpitz from azur lane, blonde hair
tohka yatogami from date a live, violet hair
tohru from miss kobayashis dragon maid, blonde hair
toka yada from assassination classroom, brown hair
tokiko sama from liar liar, blonde hair
tomo yamanobe from seikon no qwaser, brown hair
tomo yamanobe from seikon no qwaser, black hair
tomoe from queens blade, black hair
tomoe marguerite from queens blade, black hair
tomoka from manyuu hikenchou, brown hair
totsuko higurashi from the colors within film, brown hair
towa akagi from go! princess precure, purple hair
tracer from overwatch, brown hair
trigger from zenless zone zero, blonde hair
triss merigold from the witcher, red hair
tsubaki kasuga from blue archive, red hair
tsubaki nakatsukasa from soul eater manga, black hair
tsubaki yayoi from high school dxd, black hair
tsubasa hanekawa from bakemonogatari, black hair
tsukishiro yanagi from zenless zone zero, white hair
tsunade from naruto, blonde hair
tsuyu asui from my hero academia, green hair
tuareninya veyron from overlord, blonde hair
tuesday simmons from carole & tuesday, blonde hair
twirl from shantae riskys revenge, violet hair
tyra from paladins, brown hair
ulrich von hutten from azur lane, white hair
unchou kanu from ikki tousen, black hair
unzen from azur lane, purple hair
urd from oh my goddess, silver hair
uriko nonomura from bloody roar, brown hair
uriko nonomura from bloody roar, brown hair
utahime iori from jujutsu kaisen, black hair
uzume megusuno from medaka box, blonde hair
valby from the first descendant , blue hair
valentine from skullgirls, red hair
valkyrie from fortnite, turquoise hair
valkyrie from thor ragnarok, black hair
valkyrie yuna from edens zero, rose hair
valmet from jormungand, black hair
vampirella from harris comics, black hair
vanasha from horizon zero dawn, black hair
vanessa from king of fighters, red hair
vanessa enoteca from black clover, rose hair
vanessa enoteca from black clover, red hair
vanessa lewis from virtua fighter, black hair
vanguard from azur lane, blonde hair
vanilla from nekopara, white hair
velka from dark souls lore-based, silver hair
velocity from image comics, red hair
ventura from fortnite, blonde hair
venus from zenescope, blonde hair
vera from punishing gray raven, silver or white hair
vermeil from vermeil in gold, purple hair
vermillion from black clover, red hair
vestal from darkest dungeon, blonde hair
vex from league of legends, purple hair
vice from the king of fighters, brown hair
videl from dragon ball, black hair
vill-v from honkai impact 3rd, brown hair
violet evergarden from violet evergarden, blonde hair
vittorio veneto from azur lane, silver hair
vivian from cross ange, green hair
vivian from zenless zone zero, purple hair
vivian from zenless zone zero, brown hair
vivy from vivy fluorite eyes song, blue hair
vixen from dc comics, brown hair
vladilena milizé from 86, silver hair
volume from goddess of victory nikke, purple hair
wakaba saegusa from vividred operation, green hair
wanda maximoff from wandavision, red hair
wednesday addams from wednesday, black hair
weser from azur lane, blonde hair
widowmaker from overwatch, purple hair
willow rosenberg from dark horse, orange hair
winry rockbell from fullmetal alchemist, blonde hair
witch regret from edens zero, green hair
wiz from konosuba, brown hair
wonder woman from comics filme, black hair
wriothesley from genshin impact, white hair
xenovia quarta from high school dxd, blue hair
xenovia quarta from high school dxd, blue hair
xianghua from soul calibur, black hair
y'shtola rhul from final fantasy xiv, white hair
yachiho azuma from chained soldier, brown hair
yachiru kusajishi from bleach, rose hair
yae miko from genshin impact, rose hair
yae sakura from honkai impact 3rd, pink hair
yagyu from senran kagura, silver hair
yamada from b gata h kei, brown hair
yami from to love-ru, blonde hair
yami (golden darkness) from to love-ru, blonde hair
yami golden darkness from to love-ru darkness, blonde hair
yanagi from zenless zone zero, black hair
yasaka from high school dxd, blonde hair
yaya fushiguro from yuragi-sou no yuuna-san, black hair
yelan from genshin impact, black to blue hombre hair
yelena belova from black widow, blonde hair
yennefer von vengerberg from the witcher 3, black hair
ying swei from azur lane, black hair
yodonna from mashin sentai kiramager, silver hair
yoimiya from genshin impact, blonde hair
yoko belnades from castlevania aria of sorrow, blonde hair
yoko littner from gurren lagann, red hair
yoko matsunaga from puraore, black hair
yomi from senran kagura, black hair
yomi from senran kagura, blonde hair
yomi sarachi from tamayomi, brown hair
yona from yona of the dawn, red hair
yoo soohyun from solo leveling, violet hair
yor forger from spy x family, black hair
yorita natsu from my deer friend nokotan, black hair
yorshka from dark souls 3, blonde hair
yoruichi shihouin from bleach, purple hair
yoshika miyafuji from strike witches, brown hair
yoshino from date a live, blue hair
yoshino kawaguchi from tamayomi, black hair
youmu konpaku from gensokyo night festival, silver hair
yozakura from senran kagura, rose hair
yue from arifureta, blonde hair
yui hirasawa from k-on, brown hair
yui kotegawa from to love-ru, black hair
yui yuigahama from oregairu, rose hair
yukana yame from my first girlfriend is a gal, blonde hair
yukari sendo from rosario + vampire, brown hair
yuki nagato from the melancholy of haruhi suzumiya, purple hair
yuki nonaka from testament of sister new devil, violet hair
yuki nonaka from the testament of sister new devil, light blue hair
yuki nonaka from the testament of sister new devil, dark blue hair
yuki suou from alya sometimes hides her feelings , red hair
yukiko kanzaki from assassination classroom, black hair
yukino yukinoshita from my teen romantic comedy snafu, black hair
yuko ooshima from keijo, black hair
yuko sagiri from triage x, brown hair
yuko sagiri from triage x, brown hair
yulia niguredou from mieruko-chan, blonde hair
yume from grimgar ashes and illusions, red hair
yume from grimgar ashes and illusions, red hair
yumeko jabami from kakegurui, black hair
yumi from freezing, black hair
yumi from high school dxd, black hair
yumi from senran kagura, silver hair
yumi from senran kagura, white hair
yumi kazuki from master of martial hearts, brown hair
yumiko sakaki from grisaia no kajitsu, brown hair
yun jin from genshin impact, black hair
yuna from final fantasy x, brown hair
yuna amagami from tying the knot with an amagami sister, brown hair
yuno gasai from future diary, rose hair
yuri sakazaki from the king of fighters series, brown hair
yuria rindo from keijo, green hair
yuria, the witch from demons souls, black hair
yuriko takagi from highschool of the dead, purple hair
yutori chikuzen from medaka box, dark brown hair
yuu momokino from triage x, dark brown hair
yuuka hayase from blue archive, dark blue hair
yuuki konno from sword art online, purple hair
yuuko sagiri from triage x, black hair
yuuna yunohana from yuragi-sou no yuuna-san, silver hair
yuuna yunohana from yuuna and the haunted hot springs, rose hair
yuyaki from senran kagura, red hair
yuzu aihara from citrus, blonde hair
yuzu midorikawa from kandagawa jet girls, green hair
yuzuriha from hells paradise, violet hair
yuzuriha ogawa from dr stone, brown hair
zafina from tekken, black hair
zanthia from legend of kyrandia 2, purple hair
zara from azur lane, reddish brown hair
zarina from king of fighters, blonde hair
zatanna from comics, black hair
zatanna zatara from dc comics, black hair
zephyr noble from image comics, orange hair
zeri from league of legends, green turquoise hair
zero two from darling in the franxx, rose hair
zest from the testament of sister new devil, white hair
zhu yuan from zenless zone zero, black hair
zoe washburne from dark horse, brown hair
zoey from left 4 dead, red hair
zuikaku from kancolle, brown hair
sekhmet from last origin, white hair
tachi from last origin, black hair
kunoichi kaen from last origin, red hair
scarlet from last origin, red hair
maria from last origin, blonde hair
lemonade beta from last origin, blonde hair
phantom from last origin, purple hair
veronica from last origin, silver hair
empress from last origin, black hair
gnome from last origin, pink hair
michaela from brown dust 2, blonde hair
venaka from brown dust 2, white hair
levia from brown dust 2, black hair
liatris from brown dust 2, blue hair
sylvia from brown dust 2, silver hair
yuri from brown dust 2, brown hair
loen from brown dust 2, red hair
elise from brown dust 2, blonde hair
rubia from brown dust 2, pink hair
anastasia from brown dust 2, white hair
elf queen salucia from tenkafuma, blonde hair
archdemon ba’al from tenkafuma, purple hair
dwarf queen lana from tenkafuma, brown hair
archdemon satan from tenkafuma, black hair
phasi princess lulu from tenkafuma, pink hair
archdemon iblis from tenkafuma, red hair
archangel milae from tenkafuma, silver hair
snake queen mesmiia from tenkafuma, green hair
oni of bliss ibuki from tenkafuma, black hair
usagihime from tenkafuma, brown hair
iroha asobe from magicami dx, black hair
aka ohtori from magicami dx, red hair
seira sodeshiro from magicami dx, blonde hair
kaori tomonaga from magicami dx, brown hair
berlin from mist train girls, blonde hair
nagoya from mist train girls, red hair
kobe from mist train girls, black hair
sendai from mist train girls, silver hair
luna from daraku gear, silver hair
christine from daraku gear, blonde hair
rita from daraku gear, black hair
selina from daraku gear, blue hair
sol from kamihime project, blonde hair
amaterasu from kamihime project, black hair
nike from kamihime project, pink hair
levia from echocalypse, white hair
jet from echocalypse, blue hair
kiki from echocalypse, pink hair
viv from echocalypse, blonde hair
yingzhao from aether gazer, black hair
lingguang from aether gazer, blonde hair
gengchen from aether gazer, silver hair
chloe gremory from aether gazer, purple hair
asagi igawa from action taimanin, green hair
loraine from guardian tales, blonde hair
future princess from guardian tales, blonde hair
astraea from arrowmancer, white hair
selene from arrowmancer, blue hair
